web-scraper-order,web-scraper-start-url,link_to,link_to-href,title,match_info
"1541972258-98","https://www.nogomania.com/Evropski-Pokali/Liga-Prvakov.aspx","6:1","https://www.nogomania.com/Evropske-Lige/Ekipa/Paris-Saint-Germain/Novica/PSG-je-Crveni-zvezdi-odcital-lekcijo.aspx","PSG je Crveni zvezdi odčital lekcijo","Štadion: Parc des Princes, Gledalcev: 39979, Sodnik: Artur Soares Dias (POR)
        
        
            
                
                
                Paris SG
            
            
                6 : 1
            
            
                
                
                Crvena zvezda
            
        
    
    
        
            
            
        20'Neymar1 : 0 22'Neymar2 : 0 37'Edinson Cavani3 : 0 41'Angel Di Maria4 : 0   68'Filip Stojković70'Kylian Mbappe5 : 0  5 : 174'Marko Marin  75'Milan Pavkov81'Neymar6 : 1 
        
        
            Paris SG: Alphonse Areola, Thiago Silva (od 76. Thilo Kehrer), Presnel Kimpembe, Angel Di Maria, Thomas Meunier, Marco Verratti, Juan Bernat, Adrien Rabiot, Neymar (od 82. Julian Draxler), Edinson Cavani, Kylian Mbappe (od 76. Eric Maxim Choupo-Moting).
Trener: Thomas Tuchel
            
            Crvena zvezda: Milan Borjan, Vujadin Savić (od 46. Srdjan Babić), Miloš Degenek, Milan Rodić, Branko Jovičić, Nenad Krstičić, Veljko Simić (od 46. Milan Pavkov), Marko Marin, Goran Čaušić, El Fardou Ben Nabouhane (od 73. Lorenzo Ebecilio), Nikola Stojiljković.
Trener: Vladan Milojević"
"1541972285-107","https://www.nogomania.com/Evropski-Pokali/Liga-Prvakov.aspx","2:1","https://www.nogomania.com/Evropske-Lige/Ekipa/Inter/Novica/Silna-zelja-Inter-pripeljala-do-velike-zmage.aspx","Silna želja Inter pripeljala do velike zmage","Štadion: Giuseppe Meazza, Gledalcev: 64123, Sodnik: Clément Turpin (FRA)
        
        
            
                
                
                Inter
            
            
                2 : 1
            
            
                
                
                Tottenham
            
        
    
    
        
            
            
        21'Milan Škriniar    38'Davinson Sanchez43'Ivan Perišić    51'Jan Vertonghen 0 : 153'Christian Eriksen  82'Michel Vorm85'Mauro Icardi1 : 1 92'Matias Vecino2 : 1 
        
        
            Inter: Samir Handanovič, Joao Miranda, Stefan de Vrij, Milan Škriniar, Kwadwo Asamoah, Marcelo Brozović, Matias Vecino, Ivan Perišić (od 64. Antonio Candreva), Matteo Politano (od 72. Balde Diao Keita), Radja Nainggolan (od 89. Borja Valero), Mauro Icardi.
Trener: Luciano Spalletti
            
            Tottenham: Michel Vorm, Jan Vertonghen, Benjamin Davies, Eric Dier, Davinson Sanchez, Erik Lamela (od 72. Harry Winks), Mousa Dembele, Serge Aurier, Christian Eriksen, Heung-Min Son (od 64. Lucas Moura), Harry Kane (od 90. Daniel Rose).
Trener: Mauricio Pochettino"
"1541972195-77","https://www.nogomania.com/Evropski-Pokali/Liga-Prvakov.aspx","1:1","https://www.nogomania.com/Evropske-Lige/Ekipa/SL-Benfica/Novica/Ajax-se-bo-se-potil-za-izlocilne-boje.aspx","Ajax se bo še potil za izločilne boje","Štadion: Estadio da Luz, Gledalcev: , Sodnik: Gianluca Rocchi (ITA)
        
        
            
                
                
                Benfica
            
            
                1 : 1
            
            
                
                
                Ajax
            
        
    
    
        
            
            
        29'Jonas1 : 0   34'Nicolas Tagliafico39'Jonas    42'Matthijs de Ligt45'Ljubomir Fejsa   1 : 161'Dušan Tadić70'Jardel    72'Donny van de Beek  83'Dušan Tadić
        
        
            Benfica: Odisseas Vlachodimos, Alejandro Grimaldo, Ruben Dias, Jardel, Gedson Fernandes (od 75. Pizzi), Franco Cervi, Gabriel Pires, Ljubomir Fejsa, Andre Almeida, Eduardo Salvio (od 48. Rafa Silva), Jonas (od 55. Haris Seferović).
Trener: Rui Vitoria
            
            Ajax: André Onana, Matthijs de Ligt, Noussair Mazraoui, Nicolas Tagliafico, Hakim Ziyech, Daley Blind, Lasse Schøne, Donny van de Beek, Frenkie de Jong (od 86. Maximilian Wöber), David Neres (od 74. Kasper Dolberg), Dušan Tadić.
Trener: Erik ten Hag"
"1541972273-103","https://www.nogomania.com/Evropski-Pokali/Liga-Prvakov.aspx","2:0","https://www.nogomania.com/Evropske-Lige/Ekipa/Barcelona/Novica/Barcelona-prizemljila-nemocni-Inter.aspx","Barcelona prizemljila nemočni Inter","Štadion: Nou Camp, Gledalcev: 86290, Sodnik: Ovidiu Hategan (ROM)
        
        
            
                
                
                Barcelona
            
            
                2 : 0
            
            
                
                
                Inter
            
        
    
    
        
            
            
        32'Rafinha1 : 0 62'Luis Suarez    73'Marcelo Brozović  74'Milan Škriniar83'Jordi Alba2 : 0   85'Lautaro Martinez
        
        
            Barcelona: Marc-Andre ter Stegen, Gerard Pique, Clément Lenglet, Jordi Alba, Arthur (od 78. Arturo Vidal), Sergio Busquets, Ivan Rakitić, Rafinha (od 72. Nélson Semedo), Coutinho (od 88. Munir El Haddadi), Sergi Roberto, Luis Suarez.
Trener: Ernesto Valverde
            
            Inter: Samir Handanovič, Joao Miranda, Danilo D'Ambrosio, Milan Škriniar, Marcelo Brozović, Matias Vecino, Ivan Perišić (od 77. Balde Diao Keita), Kwadwo Asamoah, Antonio Candreva (od 46. Matteo Politano), Borja Valero (od 63. Lautaro Martinez), Mauro Icardi.
Trener: Luciano Spalletti"
"1541972212-83","https://www.nogomania.com/Evropski-Pokali/Liga-Prvakov.aspx","0:2","https://www.nogomania.com/Evropske-Lige/Ekipa/Fu%C3%9Fball-Club-Bayern-M%C3%BCnchen-e-V/Novica/Bavarsko-slavje-v-Lizboni.aspx","Bavarsko slavje v Lizboni","Štadion: Estadio da Luz, Gledalcev: 60274, Sodnik: Antonio Mateu (ŠPA)
        
        
            
                
                
                Benfica
            
            
                0 : 2
            
            
                
                
                Bayern Munchen
            
        
    
    
        
            
            
         0 : 110'Robert Lewandowski  18'Joshua Kimmich22'Ljubomir Fejsa  39'Jardel    52'Mats Hummels 0 : 254'Renato Sanches
        
        
            Benfica: Odisseas Vlachodimos, Alejandro Grimaldo, Ruben Dias, Jardel, Gedson Fernandes (od 76. Andrija Živković), Franco Cervi, Ljubomir Fejsa, Andre Almeida, Pizzi (od 62. Rafa Silva), Eduardo Salvio (od 62. Gabriel Pires), Haris Seferović.
Trener: Rui Vitoria
            
            Bayern Munchen: Manuel Neuer, Jerome Boateng, Mats Hummels, Joshua Kimmich, Renato Sanches, Franck Ribery (od 62. Serge Gnabry), Arjen Robben, James Rodriguez (od 79. Leon Goretzka), David Alaba, Javi Martinez (od 88. Thomas Müller), Robert Lewandowski.
Trener: Niko Kovač"
"1541972238-92","https://www.nogomania.com/Evropski-Pokali/Liga-Prvakov.aspx","3:0","https://www.nogomania.com/Evropske-Lige/Ekipa/Galatasaray-SK/Novica/Gala-se-je-vrnil-v-velikem-slogu.aspx","Gala se je vrnil v velikem slogu","Štadion: Turk Telekom Arena, Gledalcev: 43542, Sodnik: Gianluca Rocchi (ITA)
        
        
            
                
                
                Galatasaray
            
            
                3 : 0
            
            
                
                
                Lokomotiva Moskva
            
        
    
    
        
            
            
        9'Garry Rodrigues1 : 0   23'Vedran Ćorluka42'Badou N'Diaye    60'Brian Idowu67'Eren Derdiyok2 : 0 72'Fernando  87'Badou N'Diaye    88'Igor Denisov  93'Guilherme94'Selcuk Inan (11m)3 : 0 
        
        
            Galatasaray: Fernando Muslera, Yuto Nagatomo, Serdar Aziz, Ryan Donk, Martin Linnes, Emre Akbaba, Garry Rodrigues (od 91. Garry Rodrigues, od 91. Garry Rodrigues), Badou N'Diaye, Fernando, Younes Belhanda (od 73. Maicon), Eren Derdiyok (od 82. Henry Onyekuru).
Trener: Fatih Terim
            
            Lokomotiva Moskva: Guilherme, Vedran Ćorluka, Benedikt Höwedes, Brian Idowu, Solomon Kvirkvelia, Vladislav Ignatijev (od 69. Eder), Manuel Fernandes, Aleksej Mirančuk (od 86. Anton Mirančuk), Grzegorz Krychowiak, Igor Denisov, Jefferson Farfan.
Trener: Juri Semin"
"1541972298-110","https://www.nogomania.com/Evropski-Pokali/Liga-Prvakov.aspx","-","https://www.nogomania.com/Evropske-Lige/Ekipa/AS-Monaco/Novica/Monaco-je-dosegel-dno.aspx","Monaco je dosegel dno","Štadion: Stade Louis II, Gledalcev: 8347, Sodnik: Artur Soares Dias (POR)
        
        
            
                
                
                Monaco
            
            
                0 : 4
            
            
                
                
                Club Brugge
            
        
    
    
        
            
            
         0 : 112'Hans Vanaken15'Antonio Barreca   0 : 217'Hans Vanaken (11m) 0 : 324'Wesley 0 : 485'Ruud Vormer
        
        
            Monaco: Diego Benaglio, Kamil Glik (od 76. Almamy Toure), Djibril Sidibé, Jemerson, Antonio Barreca, Moussa Sylla, Sofiane Diop, Youssef Ait Bennasser (od 68. Han-Noah Massengo), Youri Tielemans, Nacer Chadli, Radamel Falcao (od 61. Aleksandr Golovin).
Trener: Thierry Henry
            
            Club Brugge: Ethan Horvath, Clinton Mata (od 77. Thibault Vlietinck), Marvelous Nakamba, Brandon Mechele, Benoit Poulain, Stefano Denswil, Ruud Vormer, Mats Rits, Hans Vanaken, Wesley (od 72. Kaveh Rezaei), Krépin Diatta (od 6. Dion Cools).
Trener: Ivan Leko"
"1541972302-111","https://www.nogomania.com/Evropski-Pokali/Liga-Prvakov.aspx","4:0","https://www.nogomania.com/Evropske-Lige/Ekipa/Borussia-Dortmund/Novica/Polom-Atletica-brez-primere.aspx","Polom Atletica brez primere","Štadion: Signal Iduna Park, Gledalcev: 66099, Sodnik: Anthony Taylor (ANG)
        
        
            
                
                
                Borussia Dortmund
            
            
                4 : 0
            
            
                
                
                Atletico Madrid
            
        
    
    
        
            
            
        13'Abdou Diallo    35'Thomas38'Axel Witsel1 : 0   45'Thomas Lemar73'Raphaël Guerreiro2 : 0   82'Luis Filipe83'Jadon Sancho3 : 0   87'Diego Costa89'Raphaël Guerreiro4 : 0 93'Dan-Axel Zagadou    93'Angel Correa
        
        
            Borussia Dortmund: Roman Burki, Abdou Diallo, Achraf Hakimi, Dan-Axel Zagadou, Christian Pulišić (od 79. Jadon Sancho), Lukasz Piszczek, Marco Reus, Mario Götze, Thomas Delaney (od 35. Mahmoud Dahoud), Axel Witsel, Jacob Bruun Larsen (od 63. Raphaël Guerreiro).
Trener: Lucien Favre
            
            Atletico Madrid: Jan Oblak, Luis Filipe, Diego Godin, Lucas Hernández, Saul (od 70. Angel Correa), Thomas Lemar, Thomas (od 46. Rodri), Koke, Juanfran, Diego Costa, Antoine Griezmann.
Trener: Diego Pablo Simeone"
"1541972134-58","https://www.nogomania.com/Evropski-Pokali/Liga-Prvakov.aspx","3:0","https://www.nogomania.com/Evropske-Lige/Ekipa/Juventus/Novica/Dybala-izkoristil-Ronaldovo-odsotnost.aspx","Dybala izkoristil Ronaldovo odsotnost","Štadion: Allianz Stadium, Gledalcev: 40961, Sodnik: Sergej Karasev (RUS)
        
        
            
                
                
                Juventus
            
            
                3 : 0
            
            
                
                
                Young Boys
            
        
    
    
        
            
            
        5'Paulo Dybala1 : 0   24'Leonardo Bertone33'Paulo Dybala2 : 0   41'Sékou Sanogo69'Paulo Dybala3 : 0   75'Mohamed Aly Camara  78'Mohamed Aly Camara
        
        
            Juventus: Wojciech Szczesny, Alex Sandro, Andrea Barzagli, Leonardo Bonucci, Medhi Benatia, Blaise Matuidi (od 46. Emre Can), Miralem Pjanić (od 70. Sami Khedira), Federico Bernardeschi, Juan Cuadrado, Paulo Dybala, Mario Mandžukić (od 78. Moise Kean).
Trener: Massimiliano Allegri
            
            Young Boys: David von Ballmoos, Steve von Bergen, Loris Benito, Mohamed Aly Camara, Djibril Sow, Sékou Sanogo (od 46. Sandro Lauper), Leonardo Bertone, Christian Fassnacht (od 71. Roger Assalé), Thorsten Schick, Guillaume Hoarau, Miralem Sulejmani (od 70. Moumi Ngamaleu).
Trener: Gerardo Seoane"
"1541972282-106","https://www.nogomania.com/Evropski-Pokali/Liga-Prvakov.aspx","2:4","https://www.nogomania.com/Evropske-Lige/Ekipa/Tottenham/Novica/Barcelona-pokazala-svoj-pravi-obraz.aspx","Barcelona pokazala svoj pravi obraz","Štadion: Wembley, Gledalcev: 82137, Sodnik: Felix Zwayer (NEM)
        
        
            
                
                
                Tottenham
            
            
                2 : 4
            
            
                
                
                Barcelona
            
        
    
    
        
            
            
         0 : 12'Coutinho14'Toby Alderweireld   0 : 228'Ivan Rakitić41'Victor Wanyama  43'Erik Lamela  52'Harry Kane1 : 2  1 : 356'Lionel Messi  59'Arthur66'Erik Lamela2 : 3   71'Sergio Busquets74'Harry Kane   2 : 490'Lionel Messi93'Eric Dier  
        
        
            Tottenham: Hugo Lloris, Toby Alderweireld, Benjamin Davies, Kieran Trippier, Davinson Sanchez, Harry Winks, Lucas Moura, Erik Lamela (od 79. Fernando Llorente), Victor Wanyama (od 57. Eric Dier), Heung-Min Son (od 66. Moussa Sissoko), Harry Kane.
Trener: Mauricio Pochettino
            
            Barcelona: Marc-Andre ter Stegen, Nélson Semedo, Clément Lenglet, Jordi Alba, Gerard Pique, Sergio Busquets (od 91. Thomas Vermaelen), Ivan Rakitić, Arthur (od 87. Arturo Vidal), Coutinho (od 83. Rafinha), Luis Suarez, Lionel Messi.
Trener: Ernesto Valverde"
"1541972260-99","https://www.nogomania.com/Evropski-Pokali/Liga-Prvakov.aspx","0:0","https://www.nogomania.com/Evropske-Lige/Ekipa/Crvena-zvezda/Novica/Nepozaben-vecer-na-Marakani.aspx","Nepozaben večer na Marakani","Štadion: Marakana, Gledalcev: 49112, Sodnik: Szymon Marciniak (POL)
        
        
            
                
                
                Crvena zvezda
            
            
                0 : 0
            
            
                
                
                Napoli
            
        
    
    
        
            
            
          17'Allan37'Nenad Krstičić  55'Miloš Degenek    57'Raul Albiol  92'Arkadiusz Milik  95'Mario Rui
        
        
            Crvena zvezda: Milan Borjan, Vujadin Savić, Miloš Degenek, Milan Rodić, Filip Stojković, Branko Jovičić (od 56. Dušan Jovančić), Nenad Krstičić, Marko Marin (od 87. Veljko Simić), Goran Čaušić, El Fardou Ben Nabouhane, Richmond Boakye (od 81. Milan Pavkov).
Trener: Vladan Milojević
            
            Napoli: David Ramirez Ospina, Raul Albiol, Kalidou Koulibaly, Elseid Hysaj, Mario Rui, Fabian, Jose Maria Callejon (od 75. Adam Ounas), Allan (od 61. Dries Mertens), Piotr Zielinski (od 76. Marek Hamšik), Arkadiusz Milik, Lorenzo Insigne.
Trener: Carlo Ancelotti"
