web-scraper-order,web-scraper-start-url,subject,title,comment_number,description,pagination,pagination-href
"1541625809-2536","https://www.nogomania.com/Novice.aspx","Evropske lige","Poraz Arsenala je krivda trenerja","7","Nekdanji angleški selektor Sam Allardyce je izrekel močne kritike na račun novega trenerja Arsenala Unaija Emeryja in sloga igre, ki ga je izbral proti Manchester Cityju.","","https://www.nogomania.com/Novice.aspx?pid=182"
"1541625982-2927","https://www.nogomania.com/Novice.aspx","Evropske lige","Robert Green podpisal za Chelsea","6","Chelsea je pripeljal veterana. Enoletno pogodbo je podpisal izkušeni angleški vratar Rob Green, ki je bil nekaj let tudi angleški reprezentančni vratar.","","https://www.nogomania.com/Novice.aspx?pid=216"
"1541626119-3222","https://www.nogomania.com/Novice.aspx","Mednarodni nogomet","Shaqiri je praktično že Liverpoolov","26","Liverpool je aktiviral odkupno klavzulo v pogodbi Xherdana Shaqirija, ki bo tako svojo kariero nadaljeval na stadionu Anfield. Shaqiri bo alternativa za Maneja in Salaha.","","https://www.nogomania.com/Novice.aspx?pid=242"
"1541625590-2093","https://www.nogomania.com/Novice.aspx","Evropske lige","EPL: United do nujne zmage v Burnleyju","52","Manchester United je za pomiritev strasti in napetosti danes nujno potreboval zmago in jo v Burnleyju tudi dosegel. Dvakrat je zadel Lukaku. Tri točke je osvojil tudi Arsenal, Tottenham pa se je opekel pri Watfordu.","","https://www.nogomania.com/Novice.aspx?pid=143"
"1541624998-877","https://www.nogomania.com/Novice.aspx","null","null","null","null","","https://www.nogomania.com/Novice.aspx?pid=36"
"1541625183-1272","https://www.nogomania.com/Novice.aspx","Evropske lige","Raiola Milanu odpira Ibrahimovićeva vrata","7","Agent Zlatana Ibrahimovića Mino Raiola je spregovoril na temo možnosti povratka švedskega napadalca v AC Milan. Prestop ni nemogoč.","","https://www.nogomania.com/Novice.aspx?pid=71"
"1541625527-1967","https://www.nogomania.com/Novice.aspx","Evropske lige","Kondogbia bo igral za Centralnoafriško republiko","0","Odlični vezist Valencie Geoffrey Kondogbia se je odpovedal potencialni karieri v majici izbrane vrste svetovnih prvakov in ""zaprisegel"" kot novi reprezentant Centralnoafriške republike.","","https://www.nogomania.com/Novice.aspx?pid=132"
"1541626426-3853","https://www.nogomania.com/Novice.aspx","Evropski pokali","Slovenski kvartet čaka na nasprotnike","4","Oglejte si imena potencialnih nasprotnikov Olimpije, Maribora, Domžal in Rudar iz Velenja v prvem krogu evropskih klubskih tekmovanj. Žreb bo potekal na sedežu UEFA, in sicer v torek ter sredo.","","https://www.nogomania.com/Novice.aspx?pid=297"
"1541625365-1627","https://www.nogomania.com/Novice.aspx","null","null","null","null","","https://www.nogomania.com/Novice.aspx?pid=102"
"1541626278-3561","https://www.nogomania.com/Novice.aspx","Mednarodni nogomet","Stavnice: Prvi favorit je Brazilija","2","Svetovne stavnice pred jutrišnjim pričetkom izločilnih bojev svetovnega prvenstva še vedno največ možnosti za naslov pripisujejo petkratnim svetovnim prvakom Brazilcem.","","https://www.nogomania.com/Novice.aspx?pid=271"
"1541624932-546","https://www.nogomania.com/Novice.aspx","null","null","null","null","","https://www.nogomania.com/Novice.aspx?pid=7"
"1541625052-1013","https://www.nogomania.com/Novice.aspx","Mednarodni nogomet","Kako lahko Muller še igra za Nemčijo?","5","Christophe Dugarry je skočil na vlak kritikov nemške reprezentance. Naštel je igralce, ki po njegovem prepričanju niso več dovolj kakovostni, da bi igrali za Elf.","","https://www.nogomania.com/Novice.aspx?pid=48"
"1541626035-3047","https://www.nogomania.com/Novice.aspx","Slovenski nogomet","Triglav se je zahvalil številnim","10","Kranjski Triglav bo v novo sezono krenil brez številnih igralcev, ki so še v minuli sezoni igrali vidne vloge. Kranjčane zapuščajo tudi Elvis Džafić, Dejan Robnik in Vlado Šmit.","","https://www.nogomania.com/Novice.aspx?pid=226"
"1541626283-3568","https://www.nogomania.com/Novice.aspx","Mednarodni nogomet","Eksplodirali na mundialu","3","Po koncu skupinskega dela izpostavljamo šest igralcev, ki so na tem svetovnem prvenstvu občutno okrepili svoj sloves in status v svetovnem nogometu. Preverite katere tihe vode so drle bregove.","","https://www.nogomania.com/Novice.aspx?pid=272"
"1541625401-1706","https://www.nogomania.com/Novice.aspx","Evropske lige","Ajax je trl in strl AEK","0","AEK je uspel zdržati en polčas, toda potentna ekipa Ajaxa je v drugem polčasu zmogla kar tri zadetke in vknjižila prve tri točke v novi sezoni lige prvakov.","","https://www.nogomania.com/Novice.aspx?pid=109"
"1541625776-2484","https://www.nogomania.com/Novice.aspx","Evropske lige","Atletico napovedal sijajno sezono","38","Atletico iz Madrida je prvič v svoji zgodovini na evropski tekmi okusil slavje proti svojemu največjemu tekmecu. Na odlični tekmi so odločili podaljški, po katerih je Atletico slavil s 4:2 in tretjič osvojil evropski superpokal.","","https://www.nogomania.com/Novice.aspx?pid=177"
"1541624930-527","https://www.nogomania.com/Novice.aspx","Mednarodni nogomet","Sanjski debi 14-letnega (!) Paragvajca na največji tekmi","4","V Paragvaju sta se minuli konec tedna na tamkajšnjem ""Superclasicu"" pomerila Cerro Porteno in Olimpia Asuncion, dandanes pa cel svet govori o podvigu, ki je uspel komaj 14-letnemu dečku.","","https://www.nogomania.com/Novice.aspx?pid=6"
"1541625947-2853","https://www.nogomania.com/Novice.aspx","Mednarodni nogomet","Miranda bo podaljšal z Interjem","4","Joao Miranda se v Milanu, kjer igra za Inter, odlično počuti. Razloga za menjavo kluba nima, zato bo v kratkem podpisal novo dveletno pogodbo.","","https://www.nogomania.com/Novice.aspx?pid=209"
"1541626207-3405","https://www.nogomania.com/Novice.aspx","Mednarodni nogomet","Tonči Mujan iz Krškega v Domžale","1","Domžale so potrdile prihod novega nogometaša. Triletno pogodbo je podpisal hrvaški krilni igralec Tonči Mujan, ki je v minuli sezoni igral za Krško.","","https://www.nogomania.com/Novice.aspx?pid=258"
"1541625522-1961","https://www.nogomania.com/Novice.aspx","null","null","null","null","","https://www.nogomania.com/Novice.aspx?pid=131"
"1541625907-2752","https://www.nogomania.com/Novice.aspx","Evropske lige","Lampard debitiral z zmago","2","Legendarni vezist Chelseaja Frank Lampard je svojo krstno tekmo v vlogi trenerja začel z dramatično zmago, do katere se je njegov Derby County dokopal šele v 94. minuti.","","https://www.nogomania.com/Novice.aspx?pid=201"
"1541625236-1345","https://www.nogomania.com/Novice.aspx","Evropske lige","Bonucci upa, da mu bodo navijači spet skandirali","5","Juventusov markantni branilec Leonardo Bonucci, ki je lani senzacionalno prestopil v AC Milan in se medtem že vrnil v Torino, upa, da ga bodo navijači spet sprejeli.","","https://www.nogomania.com/Novice.aspx?pid=77"
"1541624971-736","https://www.nogomania.com/Novice.aspx","Slovenski nogomet","Milanič: Hotić je oškodoval Maribor in sebe","18","Darko Milanič kar ni mogel verjeti, da je njegovo moštvo v drugem polčasu derbija z Olimpijo povsem razpadlo. Obnašanje Dina Hotića je zanj neodgovorno, znova pa ima pripombe čez sojenje.","","https://www.nogomania.com/Novice.aspx?pid=24"
"1541626250-3501","https://www.nogomania.com/Novice.aspx","Mednarodni nogomet","Bonucci se nagiba k PSG","5","Več italijanskih medijev poroča, da je Leonardo Bonucci pred odhodom iz AC Milana, potem ko je slednji prejel kazen UEFA. Igralca naj bi bolj kot Manchester United zanimal francoski prvak PSG.","","https://www.nogomania.com/Novice.aspx?pid=266"
"1541625518-1946","https://www.nogomania.com/Novice.aspx","Evropske lige","Bellerin je tarča homofobov","7","Branilec Arsenala Hector Bellerin je v intervjuju za The Times spregovoril o tem, kako se je znašel na tarči homofobov in gejem sovražno nastrojenih skupin.","","https://www.nogomania.com/Novice.aspx?pid=130"
"1541625488-1884","https://www.nogomania.com/Novice.aspx","Mednarodni nogomet","Argentina: Nihče se ne sme dotakniti desetice","7","Argentina se bo morala za nedoločen čas znajti brez svojega prvega zvezdnika Lionela Messija, začasni selektor Lionel Scaloni pa je razkril, da v tem čas noben drug igralec ne bo mogel nositi majice s številko 10.","","https://www.nogomania.com/Novice.aspx?pid=125"
"1541625075-1068","https://www.nogomania.com/Novice.aspx","Mednarodni nogomet","Liga narodov: Srbija zapravila veliko priložnost","0","Srbiji se je ponudila lepa priložnost, da si že danes priigra popolno izhodišče za uvrstitev v končnico lige narodov, a je varovanci Mladena Krstajića niso izkoristili. Odlično kaže Rusom.","","https://www.nogomania.com/Novice.aspx?pid=53"
"1541625996-2965","https://www.nogomania.com/Novice.aspx","Slovenski nogomet","Triglav pripeljal branilca in napadalca","8","Kranjski Triglav je danes potrdil prihod dveh novincev. Obrambo bo okrepil črnogorski nogometaš Ermin Alić, napad pa ganski nogometaš Afoakwa Dickson.","","https://www.nogomania.com/Novice.aspx?pid=219"
"1541626262-3520","https://www.nogomania.com/Novice.aspx","Slovenski nogomet","Maribor razbil še poljsko Cracovio","1","Mariborčani v času priprav še naprej kažejo izvrstno formo. Njihova zadnja žrtev je bil poljski prvoligaš Cracovia, kateremu so razigrani Mariborčani v Beltincih nasuli kar štiri zadetke.","","https://www.nogomania.com/Novice.aspx?pid=268"
"1541624989-831","https://www.nogomania.com/Novice.aspx","null","null","null","null","","https://www.nogomania.com/Novice.aspx?pid=32"
"1541625116-1176","https://www.nogomania.com/Novice.aspx","null","null","null","null","","https://www.nogomania.com/Novice.aspx?pid=62"
