web-scraper-order,web-scraper-start-url,subject,title,comment_number,description,pagination,pagination-href
"1541626372-3752","https://www.nogomania.com/Novice.aspx","Evropske lige","Bo Iličić ostal brez odličnega soigralca?","0","Rimski Lazio je po poročanju italijanskih medijev na pragu sklenitve dogovora z Atalanto za prestop odličnega argentinskega krilnega napadalca Papuja Gomeza.","","https://www.nogomania.com/Novice.aspx?pid=288"
"1541625744-2410","https://www.nogomania.com/Novice.aspx","Slovenski nogomet","Linta: Zaradi tega poraza bomo močnejši","33","""Prav zaradi takšnih tekem smo zdaj bliže ligi Europa kot smo ji bili pred dvema urama,"" je po porazu na večnem derbiju povedal trener Olimpije Aleksandar Linta, ki verjame v moč kljubovanja svojih varovancev.","","https://www.nogomania.com/Novice.aspx?pid=171"
"1541625380-1655","https://www.nogomania.com/Novice.aspx","Slovenski nogomet","Dončić je zadovoljen s podobo Triglava","1","Po prvenstveni zmagi nad Domžalami je Triglav včeraj napadal še senzacijo v pokalu proti Olimpiji. Ni bil tako daleč, svojo kožo je drago prodal. Trener Dončić je z igro zadovoljen.","","https://www.nogomania.com/Novice.aspx?pid=105"
"1541625044-990","https://www.nogomania.com/Novice.aspx","Mednarodni nogomet","Low: Muller je še vedno pomemben člen Nemčije","2","Napadalec Thomas Muller je izgubil mesto v postavi reprezentance Nemčije, a selektor Joachim Low ga še vedno vidi kot enega od pomembnih členov te zasedbe. Letos je za Elf dosegel le en zadetek.","","https://www.nogomania.com/Novice.aspx?pid=46"
"1541626213-3423","https://www.nogomania.com/Novice.aspx","Mednarodni nogomet","Vladimir Petković je lahko miren","0","Predsednik Švicarske nogometne zveze (SFV) Peter Gillieron trdi, da je selektor Vladimir Petković varen kljub izpadu proti Švedski v osmini finala mundiala v Rusiji.","","https://www.nogomania.com/Novice.aspx?pid=259"
"1541625604-2124","https://www.nogomania.com/Novice.aspx","null","null","null","null","","https://www.nogomania.com/Novice.aspx?pid=146"
"1541624960-679","https://www.nogomania.com/Novice.aspx","Slovenski nogomet","Mariborčani bodo v torek govorili o sojenju","60","V torek bo v Mariboru na sporedu novinarska konferenca, na kateri bo beseda tekla o sodniškem kriteriju v 1. SNL. Mariborčani očitno na ta način reagirajo po porazu na sobotnem večnem derbiju.","","https://www.nogomania.com/Novice.aspx?pid=19"
"1541625266-1401","https://www.nogomania.com/Novice.aspx","null","null","null","null","","https://www.nogomania.com/Novice.aspx?pid=82"
"1541625788-2507","https://www.nogomania.com/Novice.aspx","Evropske lige","Čerišev se vrača v Valencio","0","Ruski reprezentant Denis Čerišev bo naslednjo sezono preživel pri Valencii, pri kateri bo nastopal kot posojen igralec Villarreala. Za Valencio bo zaigral drugič v svoji karieri.","","https://www.nogomania.com/Novice.aspx?pid=179"
"1541625116-1167","https://www.nogomania.com/Novice.aspx","Evropske lige","Real Madrid ima najbolj zvest kader","4","Študija nogometnega observatorija CIES je raziskovala, kateri evropski klubi se lahko pohvalijo z najbolj stalnim igralskim kadrom v Evropi. Daleč najbolj zvestega ima Real Madrid.","","https://www.nogomania.com/Novice.aspx?pid=62"
"1541625332-1547","https://www.nogomania.com/Novice.aspx","Evropske lige","Lampard premagal in hvalil Mourinha","2","Pester trenerski dvoboj dveh nekdanjih ključnih figur Chelseaja Joseja Mourinha in Franka Lamparda, se je na pokalni tekmi na Old Traffordu presenetljivo končal s slavjem novinca med trenerji.","","https://www.nogomania.com/Novice.aspx?pid=95"
"1541625445-1794","https://www.nogomania.com/Novice.aspx","Mednarodni nogomet","Video: Ronaldov prvi in drugi v Serie A","12","Cristiano Ronaldo je proti Sassuolu zabil svoj prvi in drugi zadetek v Serie A in tako končal nervozno čakanje na svoj prvenec v majici Juventusa. Oglejte si prva Ronaldova gola v Italiji.","","https://www.nogomania.com/Novice.aspx?pid=117"
"1541626432-3866","https://www.nogomania.com/Novice.aspx","Mednarodni nogomet","VAR pomagal Švedski do zmage","14","Švedska je prvič po letu 1958 dobila prvo tekmo na svetovnem prvenstvu. Premagala je žilavo Južno Korejo, edini gol na tekmi pa je Granqvist dosegel z bele točke, potem ko je posredoval sistem VAR.","","https://www.nogomania.com/Novice.aspx?pid=298"
"1541625313-1502","https://www.nogomania.com/Novice.aspx","Evropske lige","Ronaldo bo odslužil eno tekmo prepovedi","24","Portugalski superzvezdnik Cristiano Ronaldo si je lahko oddahnil. Disciplinska komisija UEFA mu je za rdeči karton na srečanju proti Valencii izrekla le eno tekmo prepovedi igranja.","","https://www.nogomania.com/Novice.aspx?pid=91"
"1541625649-2218","https://www.nogomania.com/Novice.aspx","Evropske lige","Arsenal bo zaslužil čez 300 milijonov evrov","11","Adidas bo Arsenal iztrgal iz rok konkurenčnega opremljevalca, londonski klub pa bo v zameno dobil zajetno sponzorsko pogodbo, ki jo prekašata le Barcelona in Manchester United.","","https://www.nogomania.com/Novice.aspx?pid=154"
"1541625308-1495","https://www.nogomania.com/Novice.aspx","null","null","null","null","","https://www.nogomania.com/Novice.aspx?pid=90"
"1541625401-1701","https://www.nogomania.com/Novice.aspx","Evropske lige","Bavarsko slavje v Lizboni","2","Gola Roberta Lewandowskega in Renata Sanchesa sta nemškemu prvaku Bayernu in njegovemu novemu trenerju Niku Kovaču prinesla prvo zmago v ligi prvakov to sezono.","","https://www.nogomania.com/Novice.aspx?pid=109"
"1541624998-868","https://www.nogomania.com/Novice.aspx","Evropske lige","Gasperini: Ko igra Jojo, igra cela ekipa","1","Trener Atalante Gian Piero Gasperini si je po zmagi proti Chievu morebiti celo rešil službo, ključno vlogo pa je pri tem odigral igralec, na katerega je podobne upe polagal tudi nekdanji slovenski selektor Tomaž Kavčič.","","https://www.nogomania.com/Novice.aspx?pid=36"
"1541625604-2127","https://www.nogomania.com/Novice.aspx","Evropske lige","Bernat iz Munchna v Pariz","2","Francoski prvak Paris Saint Germain je na zadnji dan prestopnega roka svoje vrste okrepil s španskim bočnim branilcem Juanom Bernatom, ki v Francijo prihaja iz munchenskega Bayerna.","","https://www.nogomania.com/Novice.aspx?pid=146"
"1541625471-1856","https://www.nogomania.com/Novice.aspx","Mednarodni nogomet","Propadli Jackson Martinez našel nov klub","2","Kolumbijec Jackson Martinez je bil še pred tremi leti eden najbolj zaželenih napadalcev v Evropi, danes pa bo povsem zavoženo kariero reševal pri portugalskem malčku Portimonenseju.","","https://www.nogomania.com/Novice.aspx?pid=122"
"1541625471-1853","https://www.nogomania.com/Novice.aspx","Evropske lige","Guardiola bi končal z mladinci Barcelone","4","Trener Manchester Cityja Josep Guardiola bi svojo trenersko kariero najraje končal tam, kjer je začel svojo trenersko pot - v mladinskem pogonu Barcelone.","","https://www.nogomania.com/Novice.aspx?pid=122"
"1541625223-1315","https://www.nogomania.com/Novice.aspx","Mednarodni nogomet","Tabarez prejel Guinessovi plaketi","2","Legendarni urugvajski selektor Oscar Washington Tabarez je prejel dve uradni Guinessovi plaketi za dva izjemna svetovna rekorda v povezavi s svetovnim prvenstvom.","","https://www.nogomania.com/Novice.aspx?pid=75"
"1541624969-718","https://www.nogomania.com/Novice.aspx","Slovenski nogomet","Rajka Repa bodo v Gradcu zagotovo pomnili","0","Graški Sturm je v soboto doživel hud poraz proti malčku iz neposredne okolice Gradca. Hartberg slavi Rajka Repa, ki je prvi junak moštva!","","https://www.nogomania.com/Novice.aspx?pid=23"
"1541625183-1276","https://www.nogomania.com/Novice.aspx","Slovenski nogomet","Velika čast za Tima Matavža","0","Slovenski reprezentančni napadalec Tim Matavž je na Nizozemskem prejel priznanje, ki ga, vsaj odkar je član Vitesseja iz Arnhema, še ni prejel.","","https://www.nogomania.com/Novice.aspx?pid=71"
"1541626416-3831","https://www.nogomania.com/Novice.aspx","Slovenski nogomet","Gorica: Hodžić je že podpisal pogodbo","48","Iz vodstva Gorice so sporočili, da je mladi bočni branilec Maribora Adis Hodžić že podpisal pogodbo, ki bo v veljavo stopila ob začetku julija in bo veljala do konca leta 2020.","","https://www.nogomania.com/Novice.aspx?pid=295"
"1541624930-529","https://www.nogomania.com/Novice.aspx","Evropske lige","Bišćan nikakor ne uspe prekiniti bojkota navijačev","3","Navijaška skupina Armada nadaljuje bojkot navijanja zaradi trenerja Igorja Bišćana. V klubu k navijanju zato pozivajo preostale navijače.","","https://www.nogomania.com/Novice.aspx?pid=6"
"1541626042-3053","https://www.nogomania.com/Novice.aspx","Slovenski nogomet","Video: Oblak kot Cristiano Ronaldo","8","Jan Oblak je na treningu Atletica osupnil svoje soigralce in jim pokazal, da njegova nogometna virtuoznost ni omejena zgolj na vratarske parade. Oglejte si njegovo akrobacijo v slogu Cristiana Ronalda!","","https://www.nogomania.com/Novice.aspx?pid=227"
"1541624927-520","https://www.nogomania.com/Novice.aspx","Evropske lige","Ibrahimović: Kakovost Premier League je precenjena","16","Švedski superzvezdnik Zlatan Ibrahimović je v intervjuju za revijo FourFourTwo osvetlil svojo izkušnjo z igranjem pri Manchester Unitedu ter se obregnil tudi ob kakovost nogometa v Premiershipu.","","https://www.nogomania.com/Novice.aspx?pid=5"
"1541626057-3084","https://www.nogomania.com/Novice.aspx","Evropske lige","Oxlade-Chamberlain bo izpustil celo sezono","6","Iz tabora Liverpoola so sporočili, da bo odlični vezist Alex Oxlade-Chamberlain zaradi poškodbe kolenskih vezi, ki jo je staknil na tekmi lige prvakov proti Romi, izpustil celotno novo sezono.","","https://www.nogomania.com/Novice.aspx?pid=230"
"1541624971-734","https://www.nogomania.com/Novice.aspx","Slovenski nogomet","Maribor: Škandalozen zaključek derbija","7","Pri Mariboru so v poročilu z derbija zapisali, da je šlo za škandalozen zaključek derbija in nedosojeno enajstmetrovko. O situaciji za enajstmetrovko na nasprotni strani pa nič.","","https://www.nogomania.com/Novice.aspx?pid=24"
"1541625075-1072","https://www.nogomania.com/Novice.aspx","null","null","null","null","","https://www.nogomania.com/Novice.aspx?pid=53"
"1541625014-912","https://www.nogomania.com/Novice.aspx","Slovenski nogomet","Je Obrenović upravičeno razveljavil enajstmetrovko?","5","Rade Obrenović je na tekmi Gorica - Maribor že dosodil enajstmetrovko, a si po posvetu s pomočnikom nato premislil. Upravičeno?","","https://www.nogomania.com/Novice.aspx?pid=40"
"1541626181-3365","https://www.nogomania.com/Novice.aspx","Evropske lige","Paulinho z Barcelono o ponudbi s Kitajske","5","Vezist Barcelone Paulinho je po izpadu Brazilije s svetovnega prvenstva priznal, da se mora vrniti v Barcelono, kjer bo skupaj s klubom preučil ponudbo s Kitajske.","","https://www.nogomania.com/Novice.aspx?pid=254"
"1541625482-1880","https://www.nogomania.com/Novice.aspx","Mednarodni nogomet","Video: Lainez, poglej, kako majhen si","4","Matt Miazga, reprezentant ZDA, je v trenutkih vroče krvi mehiškemu reprezentantu Diegu Lainezu na slikovit način pokazal, kako velika razlika v višini je med njima.","","https://www.nogomania.com/Novice.aspx?pid=124"
"1541626057-3094","https://www.nogomania.com/Novice.aspx","null","null","null","null","","https://www.nogomania.com/Novice.aspx?pid=230"
"1541625522-1952","https://www.nogomania.com/Novice.aspx","null","null","null","null","","https://www.nogomania.com/Novice.aspx?pid=131"
"1541625564-2043","https://www.nogomania.com/Novice.aspx","Evropske lige","Klopp navdušen nad potezo ""Generala"" Hendersona","8","Angleški vezist Jordan Henderson je z Liverpoolom sklenil petletno pogodbo, kar je navdušilo šefa stroke pri Redsih, Nemca Jurgena Kloppa. 28-letnik bo pri Redsih do leta 2023.","","https://www.nogomania.com/Novice.aspx?pid=139"
"1541625719-2364","https://www.nogomania.com/Novice.aspx","Mednarodni nogomet","Četrti dres Rostova v obliki preproge","0","Vodstvo ruskega Rostova se je odzvalo šaljivcem med svojimi navijači, ki so zmage moštva slavili s preprogo. Nastal je nov četrti dres, kakršnega doslej še nismo imeli priložnosti videti.","","https://www.nogomania.com/Novice.aspx?pid=167"
"1541626298-3597","https://www.nogomania.com/Novice.aspx","Mednarodni nogomet","Ozil je nezainteresiran kot mrtva žaba","16","Statistično to morda ni, toda Mesut Ozil je v očeh Nemcev eden glavnih krivcev za izpad z mundiala. Joachim Low mu vsa leta slepo zaupa, strokovna javnost pa je prepričana, da Ozil ne bi smel igrati v prvi postavi.","","https://www.nogomania.com/Novice.aspx?pid=275"
"1541625963-2879","https://www.nogomania.com/Novice.aspx","Evropske lige","Mourinho potrebuje še dve okrepitvi","28","Jose Mourinho opazuje, kako se krepijo rivali Manchester Uniteda, sam pa zaenkrat vseh okrepitev še ni dobil. Portugalec upa, da bo vodstvo kluba pripeljalo dva igralca.","","https://www.nogomania.com/Novice.aspx?pid=212"
"1541626224-3447","https://www.nogomania.com/Novice.aspx","null","null","null","null","","https://www.nogomania.com/Novice.aspx?pid=261"
"1541625766-2455","https://www.nogomania.com/Novice.aspx","Evropske lige","Marchisio po 25 letih zapušča Juventus","7","Vodstvo torinskega Juventusa je sporazumno prekinilo pogodbo z vezistom Claudiom Marchisiom, ki je skoz vrata stare dame vstopil že kot sedemletni fantič in nato v klubu ostal kar 25 let.","","https://www.nogomania.com/Novice.aspx?pid=175"
"1541625649-2220","https://www.nogomania.com/Novice.aspx","Mednarodni nogomet","Schweinsteiger vstopil v hišo slavnih","2","Bastian Schweinsteiger je Bayernu dal skorajda vso kariero in pri njem dosegel skorajda vse. Zdaj je vstopil v klubsko hišo slavnih kot 18. igralec v zgodovini kluba.","","https://www.nogomania.com/Novice.aspx?pid=154"
"1541624966-710","https://www.nogomania.com/Novice.aspx","Evropske lige","Clasico: Totalna sramota Reala v Barceloni","41","Vsi upi, da bi Real slabo sezono lahko obrnil z zmago na El Clasicu, so povsem poteptani. Barcelona je brez Lionela Messija zmlela Real, Argentinčevo vlogo pa je prevzel sijajni Luis Suarez!","","https://www.nogomania.com/Novice.aspx?pid=22"
"1541626352-3716","https://www.nogomania.com/Novice.aspx","Mednarodni nogomet","Alba: Zakaj toliko kritik Messija?","8","Jordi Alba ne razume, zakaj je Lionel Messi deležen toliko kritik za igre v dresu Argentine. Reprezentanca je brez njega veliko slabša.","","https://www.nogomania.com/Novice.aspx?pid=285"
"1541625084-1089","https://www.nogomania.com/Novice.aspx","Slovenski nogomet","Kavčič na odstop še ni pomislil","21","Čeprav Slovenija še naprej pada, čeprav ne uspe niti streljati več v okvir gola, selektor Tomaž Kavčič namerava vztrajati. Pravi, da o odstopu po porazu v Oslu ni pomislil. Slovenija po njegovem ni nemočna.","","https://www.nogomania.com/Novice.aspx?pid=55"
"1541625121-1179","https://www.nogomania.com/Novice.aspx","Evropske lige","Navijači iz Egipta so uničili anketo za Zlato žogo","3","France Football, ki podeljuje Zlato žogo, je v anketi skušal dobiti mnenje ljudi o tem, kdo je najboljši igralec na svetu. Glasovi iz Egipta so vse skupaj uničili.","","https://www.nogomania.com/Novice.aspx?pid=63"
"1541625569-2059","https://www.nogomania.com/Novice.aspx","Slovenski nogomet","Olimpija: Računamo na Safeta Hadžića","4","V vodstvu Olimpije so se zahvalili začasnemu trenerju Safetu Hadžiću za opravljeno delo in pripisali, da bodo nanj ""še dolgo računali in se zanesli zanj"". Hadžić se zdaj vrača k delu v mladinskem pogonu kluba.","","https://www.nogomania.com/Novice.aspx?pid=140"
"1541625809-2544","https://www.nogomania.com/Novice.aspx","null","null","null","null","","https://www.nogomania.com/Novice.aspx?pid=182"
"1541625870-2680","https://www.nogomania.com/Novice.aspx","Slovenski nogomet","Mandarić zanika prodajo Olimpije","66","Milan Mandarić preko izjave za javnost razkriva, da se morebitni investitorji zanimajo za Olimpijo, vendar dogovora ni, še manj podpisane pogodbe.","","https://www.nogomania.com/Novice.aspx?pid=194"
"1541625539-1989","https://www.nogomania.com/Novice.aspx","Slovenski nogomet","Ugled Slovenije še naprej tone","78","Slovenija še naprej ne kaže nobenega napredka in je v klavrni podobi s porazom začela ligo narodov proti skromni Bolgariji. Boleč domač poraz je zaznamoval hud kiks Vida Belca.","","https://www.nogomania.com/Novice.aspx?pid=134"
"1541625462-1824","https://www.nogomania.com/Novice.aspx","Slovenski nogomet","Ahmedi se je poslovil od Maribora","1","Maribor v prihodnje ne bo več računal na albanskega vezista Valona Ahmedija, ki v letošnji sezoni ni bil v načrtih trenerja Darka Milaniča. Ahmedi bo kariero nadaljeval pri izraelskem Hapoelu iz Kiryat Shmone.","","https://www.nogomania.com/Novice.aspx?pid=120"
"1541624948-616","https://www.nogomania.com/Novice.aspx","Evropske lige","Crvena zvezda je s Cafujem brcnila v temo","0","Srbski mediji poročajo, da bi se Crvena zvezda že januarja lahko razšla z igralcem, ki je v Srbijo prispel z velikim pompom in velja za najbolje plačanega igralca v zgodovini kluba.","","https://www.nogomania.com/Novice.aspx?pid=14"
"1541626224-3444","https://www.nogomania.com/Novice.aspx","Mednarodni nogomet","Je Bayern na mundialu našel novega igralca?","3","Z igrami na svetovnem prvenstvu je Benjamin Pavard opozoril nase. Branilec Francije in Stuttgarta je zdaj morda na pragu velikega prestopa v Bayern.","","https://www.nogomania.com/Novice.aspx?pid=261"
"1541625266-1392","https://www.nogomania.com/Novice.aspx","Evropske lige","Alisson: Rim sem zapustil v solzah","3","Alisson Becker je poleti postal eden najdražjih vratarjev v zgodovini, ko je Romo zamenjal za Liverpool. Selitev ni bila enostavna, je priznal, tokrat pa se bo v rdečem dresu vrnil na Apeninski polotok.","","https://www.nogomania.com/Novice.aspx?pid=82"
"1541625302-1477","https://www.nogomania.com/Novice.aspx","Slovenski nogomet","Sorčan in Lipušček sta jo dobro odnesla","4","Vratar Gorice Grega Sorčan in branilec Žiga Lipušček sta se javila iz bolnišnice, kjer so ugotovili, da sta utrpela pretres možganov. Hujših posledic pa ni, zato oba odhajata domov. Gorica se je zahvalila Olimpiji.","","https://www.nogomania.com/Novice.aspx?pid=89"
"1541625604-2131","https://www.nogomania.com/Novice.aspx","Mednarodni nogomet","Domžale Husmanija plasirale v drugo turško ligo","1","Domžale so na zadnji dan poletnega prestopnega roka izgubile pomembnega člana moštva. Poslovil se je makedonski vezist Zeni Husmani in sprejel izziv v drugi turški ligi.","","https://www.nogomania.com/Novice.aspx?pid=146"
"1541626224-3440","https://www.nogomania.com/Novice.aspx","Evropske lige","Sodnik Tagliavento je postal direktor Ternane","3","Nekdanji italijanski sodnik Paolo Tagliavento je po končani sodniški karieri prevzel direktorsko funkcijo v Ternani, ki je iz Serie B izpadla v Serie C.","","https://www.nogomania.com/Novice.aspx?pid=261"
"1541625308-1490","https://www.nogomania.com/Novice.aspx","Mednarodni nogomet","Slaven Bilić je presenetil z izbiro kluba","1","Al-Ittihad, velikan iz Savdske Arabije, je znova posegel po trenerju s področja Balkana. Ulov je velik, kajti Savdijci so z denarjem in projektom prepričali kar Slavena Bilića, ki je nazadnje vodil West Ham.","","https://www.nogomania.com/Novice.aspx?pid=90"
"1541626312-3623","https://www.nogomania.com/Novice.aspx","Evropske lige","Po velikem neuspehu Ventura zdaj dobil nagrado","0","Giampiero Ventura je največji neuspeh v karieri zabeležil, ko se z Italijo ni uvrstil na SP 2018. Vseeno pa je za svoj prispevek italijanskemu nogometu zdaj prejel priznanje.","","https://www.nogomania.com/Novice.aspx?pid=277"
"1541625649-2223","https://www.nogomania.com/Novice.aspx","null","null","null","null","","https://www.nogomania.com/Novice.aspx?pid=154"
"1541626095-3172","https://www.nogomania.com/Novice.aspx","Evropske lige","Juve v 24 urah prodal več kot pol milijona majic!","21","Da je Cristiano Ronaldo velik hit med navijači, ne preseneča. Kljub temu pa si pri Juventusu bržčas niso mislili, da bodo v zgolj 24 urah od začetka prodaje majice z njegovim imenom prodali kar pol milijona primerkov.","","https://www.nogomania.com/Novice.aspx?pid=237"
"1541625385-1671","https://www.nogomania.com/Novice.aspx","Mednarodni nogomet","Khedira izgubljen za Napoli","2","Zdravstvena bilanca Juventusa po včerajšnji tekmi v Valencii znaša dva poškodovana nogometaša. Sami Khedira in Douglas Costa sta izven pogona.","","https://www.nogomania.com/Novice.aspx?pid=106"
"1541626437-3877","https://www.nogomania.com/Novice.aspx","Mednarodni nogomet","Maradona: Sampaolijeva taktika je sramotna","39","Diego Maradona je argentinskemu selektorju Jorgeju Sampaoliju svetoval, da naj raje popravi taktiko na naslednjih tekmah, če ne se ne bo smel vrniti nazaj v Argentino.","","https://www.nogomania.com/Novice.aspx?pid=299"
"1541624982-791","https://www.nogomania.com/Novice.aspx","Slovenski nogomet","Kek potrdil: Slovenija me zanima","14","Nekdanji slovenski selektor Matjaž Kek je v intervjuju za časnik EkipaSN priznal,  da se je s predsednikom NZS Radenkom Mijatovićem pričel pogovarjati o prevzemu vodenja slovenske izbrane vrste.","","https://www.nogomania.com/Novice.aspx?pid=29"
"1541625337-1556","https://www.nogomania.com/Novice.aspx","Evropske lige","Isco gre na operacijsko mizo","2","Isco, član madridskega Reala, ima akutno vnetje slepega črevesja in mora na operacijo, so sporočili iz madridskega kluba. Za zdaj ni znano kdaj se bo vezist vrnil na zelenice.","","https://www.nogomania.com/Novice.aspx?pid=96"
"1541624964-697","https://www.nogomania.com/Novice.aspx","Evropske lige","Hamšik ujel Napolijevo legendo","0","Na sinočnji tekmi proti Romi je zvezdnik Napolija Marek Hamšik spet pisal klubsko zgodovino. Je najboljši strelec kluba v zgodovini, nekateri drugi mejniki pa so zanj še kako dosegljivi.","","https://www.nogomania.com/Novice.aspx?pid=21"
"1541625080-1074","https://www.nogomania.com/Novice.aspx","Mednarodni nogomet","Nemčija kot razbita vojska","10","Svetovni prvaki izpred štirih let Nemci so se znašli v neverjetni seriji tekem, ki trdo vero v delo nekoč uspešnega selektorja Joachima Lowa postavljajo pod velik vprašaj.","","https://www.nogomania.com/Novice.aspx?pid=54"
"1541625508-1917","https://www.nogomania.com/Novice.aspx","Evropske lige","Lucas Paqueta na radarju Barcelone in PSG","29","Brazilski velikan Flamengo računa na to, da bo s prodajo svojega 21-letnega bisera Lucasa Paquetaja zaslužil vsaj 50 milijonov evrov. Hoče ga tudi Barcelona.","","https://www.nogomania.com/Novice.aspx?pid=128"
"1541624934-547","https://www.nogomania.com/Novice.aspx","Mednarodni nogomet","Stojanovićev Levski razbil nasprotnika","0","Nekdanji slovenski selektor Slaviša Stojanović ima v Bolgariji zaenkrat vse pod kontrolo. Njegov Levski drži korak z bogatim Ludogorcem. Ožbolt je vstopil s klopi.","","https://www.nogomania.com/Novice.aspx?pid=8"
"1541625882-2701","https://www.nogomania.com/Novice.aspx","Mednarodni nogomet","Witsel v Dortmundu do 2022","0","Po sezoni na Kitajskem je Axel Witsel spoznal, da bo za njegovo kariero bolje, če spet zaigra v Evropi. To bo naslednja štiri leta počel v dresu nemškega velikana Borussie iz Dortmunda.","","https://www.nogomania.com/Novice.aspx?pid=196"
"1541625972-2903","https://www.nogomania.com/Novice.aspx","Mednarodni nogomet","Scolari znova v Braziliji, znova vodi Palmeiras","0","Luiz Felipe Scolari, svetovni prvak z Brazilijo leta 2002, po donosni epizodi na Kitajskem še ne razmišlja o upokojitvi. Tretjič v karieri je 69-letnik prevzel Palmeiras.","","https://www.nogomania.com/Novice.aspx?pid=214"
"1541625645-2201","https://www.nogomania.com/Novice.aspx","Evropske lige","Borriello za konec na otok zabave","3","Nekdanji italijanski reprezentant in član klubov kot so Juventus, Milan ali Roma Marco Borriello bo zadnje leto kariere preživel v okolju, v katerem nogomet povsem postranskega pomena - na Ibizi!","","https://www.nogomania.com/Novice.aspx?pid=153"
"1541625152-1237","https://www.nogomania.com/Novice.aspx","Evropske lige","Tebas: La Liga je najboljša na svetu","26","Predsednik španske La Lige Javier Tebas je razložil, zakaj je navkljub finančnemu deficitu v primerjavi s Premier League špansko prvenstvo najmočnejše na svetu.","","https://www.nogomania.com/Novice.aspx?pid=68"
"1541624941-585","https://www.nogomania.com/Novice.aspx","Evropske lige","Real kupuje novega baby galaktika","4","Evropski prvak Real iz Madrida je sklenil dogovor za prestop mladega zvezdnika argentinskega nogometa, kateremu številni strokovnjaki napovedujejo bleščečo prihodnost.","","https://www.nogomania.com/Novice.aspx?pid=11"
"1541625709-2344","https://www.nogomania.com/Novice.aspx","Evropski pokali","Liga prvakov: Dinamo v Bernu do remija","6","Zagrebški Dinamo je na prvi tekmi playoffa na gostovanju pri švicarskemu prvaku iztržil remi. Velik kapital pred povratnima tekmama sta si priigrala Ajax in grški prvak AEK iz Aten.","","https://www.nogomania.com/Novice.aspx?pid=165"
"1541625003-895","https://www.nogomania.com/Novice.aspx","Slovenski nogomet","Video: Josip Iličić v polnem sijaju","1","Oglejte si fenomenalen hat-trick Josipa Iličića, ki je najprej v majici slovenske reprezentance, zdaj pa še v majici Atalante dokazal, da mu bolezen ni prišla do živega. Najbolj izstopa njegov prvi gol na tekmi proti Chievu.","","https://www.nogomania.com/Novice.aspx?pid=38"
"1541625280-1432","https://www.nogomania.com/Novice.aspx","null","null","null","null","","https://www.nogomania.com/Novice.aspx?pid=85"
"1541626170-3343","https://www.nogomania.com/Novice.aspx","Mednarodni nogomet","Hierro se je poslovil od španske klopi","0","Manevra s Fernandom Hierrom kot začasno rešitvijo na klopi španske reprezentance je nepreklicno konec. Hierro se ne bo vrnil na funkcijo športnega direktorja, temveč bo iskal nove izzive.","","https://www.nogomania.com/Novice.aspx?pid=252"
"1541625956-2869","https://www.nogomania.com/Novice.aspx","Slovenski nogomet","Domžale nad Ufo z dobro popotnico","0","Domžale so po dveh odigranih krogih na vrhu lestvice. V nedeljo zvečer so doma premagale Rudar iz Velenja, ki je tako po porazu proti Steaui dobil še eno zaušnico. Dvakrat je zadel Senijad Ibričić.","","https://www.nogomania.com/Novice.aspx?pid=211"
"1541625947-2847","https://www.nogomania.com/Novice.aspx","Mednarodni nogomet","Chelsea v pogovorih za Vecina","31","Urugvajski reprezentant Matias Vecino bi lahko zapustil Inter in se preselil v Chelsea, a le, če bodo Londončani zanj plačali 32 milijonov funtov.","","https://www.nogomania.com/Novice.aspx?pid=209"
"1541624969-723","https://www.nogomania.com/Novice.aspx","Slovenski nogomet","Namesto Šporarja tokrat Bajrić","0","Slovan iz Bratislave vztraja na vodilni poziciji v prvenstvu, slovenski vpliv v ekipi pa je še naprej močno prisoten. Andraž Šporar je tokrat dobil zamenjavo.","","https://www.nogomania.com/Novice.aspx?pid=23"
"1541624995-856","https://www.nogomania.com/Novice.aspx","Evropske lige","Berlusconi zaupa znanemu trenerskemu imenu","5","Projekt Monze, ki ga vodi novi lastnik kluba Silvio Berlusconi, dobiva konkretne obrise. Berlusconi je že našel novega trenerja in to takšnega, ki je v preteklosti vodil AC Milan.","","https://www.nogomania.com/Novice.aspx?pid=35"
"1541625360-1614","https://www.nogomania.com/Novice.aspx","Slovenski nogomet","Požeg Vancaš v Celju užalostil Muro","0","Izpad iz pokala Celjanov ni usodno zaznamoval, v prvenstvu so se hitro pobrali. Prvo četrtino sezone so zaključili z zmago proti Muri. Odločil je Požeg Vancaš.","","https://www.nogomania.com/Novice.aspx?pid=101"
"1541626234-3464","https://www.nogomania.com/Novice.aspx","Mednarodni nogomet","Maradona: Isco ima veliko prometa, a malo učinka","4","Legendarni Diego Maradona je kritiziral igro španske reprezentance proti Rusiji, ostre besede pa je izrekel tudi na račun enega največjih španskih zvezdnikov Isca.","","https://www.nogomania.com/Novice.aspx?pid=263"
"1541625963-2888","https://www.nogomania.com/Novice.aspx","Slovenski nogomet","Rotman se je vrnil v Kayserispor","0","Turčija ostaja obljubljena dežela za slovenskega reprezentančnega vezista Rajka Rotmana, ki je zapustil Goztepe in se vrnil v Kayserispor.","","https://www.nogomania.com/Novice.aspx?pid=212"
"1541625396-1696","https://www.nogomania.com/Novice.aspx","null","null","null","null","","https://www.nogomania.com/Novice.aspx?pid=108"
